# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ in bins of $|y_{\gamma\gamma}|$
XLabel=Bin number
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
DrawOnly=/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23626.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23626.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d09-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	3.235000e-01	5.156537e-02	5.156537e-02
1.500000e+00	2.500000e+00	7.347100e-02	1.586440e-02	1.586440e-02
2.500000e+00	3.500000e+00	8.806500e-03	1.583469e-03	1.583469e-03
3.500000e+00	4.500000e+00	2.766800e-01	5.475413e-02	5.475413e-02
4.500000e+00	5.500000e+00	8.380500e-02	1.693382e-02	1.693382e-02
5.500000e+00	6.500000e+00	7.463500e-03	1.510624e-03	1.510624e-03
6.500000e+00	7.500000e+00	1.966900e-01	5.298663e-02	5.298663e-02
7.500000e+00	8.500000e+00	4.613500e-02	1.706571e-02	1.706571e-02
8.500000e+00	9.500000e+00	4.028300e-03	1.450918e-03	1.450918e-03
9.500000e+00	1.050000e+01	1.740400e-01	4.483363e-02	4.483363e-02
1.050000e+01	1.150000e+01	1.325300e-03	1.406225e-02	1.406225e-02
1.150000e+01	1.250000e+01	2.320900e-03	1.418965e-03	1.418965e-03
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/br_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ScaledBy=2.28242794195637878e-05
Title=NNLO PhPy8
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	1.663088e-01	1.612598e-03	1.612598e-03
1.500000e+00	2.500000e+00	4.412280e-02	6.433921e-04	6.433921e-04
2.500000e+00	3.500000e+00	4.276898e-03	1.143866e-04	1.143866e-04
3.500000e+00	4.500000e+00	1.402603e-01	1.481164e-03	1.481164e-03
4.500000e+00	5.500000e+00	3.713784e-02	5.904650e-04	5.904650e-04
5.500000e+00	6.500000e+00	3.444768e-03	1.026575e-04	1.026575e-04
6.500000e+00	7.500000e+00	1.124952e-01	1.347912e-03	1.347912e-03
7.500000e+00	8.500000e+00	2.775638e-02	5.106275e-04	5.106275e-04
8.500000e+00	9.500000e+00	2.520862e-03	8.781835e-05	8.781835e-05
9.500000e+00	1.050000e+01	7.886640e-02	1.111017e-03	1.111017e-03
1.050000e+01	1.150000e+01	2.025155e-02	4.368994e-04	4.368994e-04
1.150000e+01	1.250000e+01	1.750304e-03	7.399612e-05	7.399612e-05
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ScaledBy=3.07024839239755524e-03
Title=r23
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	1.421569e-01	3.264019e-03	3.264019e-03
1.500000e+00	2.500000e+00	3.275181e-02	1.434264e-03	1.434264e-03
2.500000e+00	3.500000e+00	4.694625e-03	2.963702e-04	2.963702e-04
3.500000e+00	4.500000e+00	1.288949e-01	3.053952e-03	3.053952e-03
4.500000e+00	5.500000e+00	3.113165e-02	1.338237e-03	1.338237e-03
5.500000e+00	6.500000e+00	3.189937e-03	2.791981e-04	2.791981e-04
6.500000e+00	7.500000e+00	1.010377e-01	2.728028e-03	2.728028e-03
7.500000e+00	8.500000e+00	2.063138e-02	1.138166e-03	1.138166e-03
8.500000e+00	9.500000e+00	2.521187e-03	2.342535e-04	2.342535e-04
